geneId	log2FC	logCPM	F	PValue	FDR
YDR403W	3.32774939274369	4.79219703623224	42.7455652062701	3.49245499306598e-06	1.59951388503389e-05
YDR405W	1.14773874022238	8.51341689268081	64.1466634846633	2.1261591919657e-07	1.3697271256349e-06
YDR408C	-2.06202939647575	6.83974811505221	110.152066120822	3.50659688070599e-09	4.05035111066568e-08
YDR410C	-1.09163781937587	4.61638808117424	8.14062126917142	0.010427770736386	0.0196985697916456
YDR411C	1.05822891831298	6.23550716468058	21.2515775611729	0.000208301742791815	0.000612295033184013
YDR412W	-1.06059035855084	9.27817363425125	81.938645810965	3.47352889350349e-08	2.83284378188682e-07
YDR418W	-2.40465120710832	8.12683343194657	209.175888456474	1.80955731041684e-11	4.83541780552077e-10
YDR421W	1.07352236613466	6.55043594559017	19.0829528152397	0.000356709267384483	0.000988158160678409
YDR433W	1.7497242218887	5.39353982150201	25.642338060591	7.67025432715225e-05	0.000249986412004888
YDR437W	-1.88211016648157	5.81572230914293	61.772479165351	2.78905706756489e-07	1.73909812869325e-06
YDR444W	-1.21232439382851	5.86524596482771	26.8822224287781	5.89585571809913e-05	0.000197937691329781
YDR447C	-3.46676949649955	7.07047451379715	214.395725063808	1.46865930353962e-11	4.16305372311446e-10
YDR449C	-2.26247570538177	6.24954163077856	105.73134760943	4.84580454984445e-09	5.2720744936482e-08
YDR450W	-1.9833202832817	9.32824928970961	185.68927248977	4.93332362157875e-11	1.08698945678819e-09
YDR451C	-1.4693256705957	5.30614264507033	12.4661354412542	0.00233536405309826	0.00524257238632161
YDR452W	1.00349986453197	7.77018904558926	41.4442376440194	4.27181881339554e-06	1.91138377623261e-05
YDR453C	1.90250964970149	7.95890031328321	113.160420286665	2.83171617544617e-09	3.3980594105354e-08
YDR454C	-1.33918572093539	6.70754398362821	46.6124889839525	1.96810612800836e-06	9.62756393216029e-06
YDR461C-A	1.88144221471444	6.6063931329145	38.1579396451014	7.25384380204602e-06	3.07262979789413e-05
YDR465C	-1.77373643951809	8.17782350348758	131.205242176472	8.64098201914989e-10	1.23469508742294e-08
YDR471W	-2.3328686421713	8.96718953666821	273.756020100424	1.8176553658308e-12	8.14682456274931e-11
snR13	-2.72876013446701	4.79125582394802	36.0859992432836	1.02980937991136e-05	4.19931600952969e-05
YDR472W	-1.38264187630691	5.97047095189464	31.8439478042085	2.20793688842659e-05	8.26439760378946e-05
YDR478W	-1.17606966946753	7.33949418077992	56.7143838002201	5.11547558063918e-07	2.94139845886753e-06
YDR489W	-1.54364273312351	5.35125165039969	30.3191540516308	2.95262117613329e-05	0.000107004460591866
YDR492W	-1.29829240281043	6.43951118498816	36.1510066828448	1.01833703195635e-05	4.15576606659854e-05
YDR496C	-1.58389505249092	8.54273378145054	104.523891521931	5.30414442020862e-09	5.68812542731575e-08
YDR500C	-1.51894849817731	8.31233144540074	113.589290313282	2.74783002972163e-09	3.31255647720925e-08
YDR501W	-1.83981624607387	6.04534587889644	61.1472201218129	2.99977590190503e-07	1.84201695896838e-06
YDR505C	1.84533782663978	6.91622461302577	83.786008768172	2.93321367367578e-08	2.4454328306448e-07
YDR508C	-1.72291085748772	9.38771893069821	132.89776598192	7.78883848356043e-10	1.13773451275184e-08
YDR511W	1.02217787716824	6.60335275396504	20.2185064166416	0.000268055946174852	0.000765623846264118
YDR513W	1.23996099889867	7.75097028582988	68.8923494325665	1.26476348286765e-07	8.76145271355081e-07
YDR519W	1.2158567120593	7.3149154313425	45.7419533685169	2.23238960622142e-06	1.07400468761699e-05
YDR524C	-1.22531957750103	7.33871770835991	49.7061160823331	1.27493789052494e-06	6.49104300768229e-06
YDR524C-B	-1.21869455601183	9.32257603392874	87.983624110266	2.0201394997416e-08	1.77447429424539e-07
YDR527W	-1.55460309212161	6.63275999145932	62.5351904150039	2.5539412388317e-07	1.61165678176094e-06
snR84	1.84297998978567	8.50879699978336	77.671895521412	5.19682120258818e-08	4.04935072605831e-07
YDR528W	1.51499223405867	4.82273604712114	15.6171921975278	0.000907546021706259	0.00227457732495769
YDR533C	3.65649291226409	9.54222790807115	554.253568315902	3.75575212017606e-15	8.95234732645604e-13
YDR541C	-1.22245011383235	4.83325456592575	14.2922278091733	0.00133370922772274	0.00319651334103201
YOL157C	1.25823256022961	6.34557841998038	32.97317925153	1.79083290111619e-05	6.85483776164473e-05
YOL155C	1.62446258371035	7.76186413647478	41.184826685381	4.44923965454608e-06	1.98568619135656e-05
YOL152W	1.41097217543891	5.45933219614644	21.5825226293512	0.000192419381548702	0.000571051067821955
YOL151W	2.52025380461463	7.18024196814036	161.350674309009	1.58951273293544e-10	2.83695605532611e-09
YOL147C	1.76304886434032	6.27013563733133	51.082515236023	1.05779061524234e-06	5.53046259853521e-06
